,Scientific Name,Common Name,Species Code,Population Code,Lead Region,Federal Listing Status,Where Listed
1840,Prietella phreatophila,Mexican blindcat (catfish),E00K,V01,Foreign,Endangered,Wherever found
1841,Primula maguirei,Maguire primrose,Q2H5,P01,6,Threatened,Wherever found
1842,Priodontes maximus,Giant armadillo,A04O,V01,Foreign,Endangered,Wherever found
1843,Prionailurus (=Felis) bengalensis bengalensis,Leopard cat,A04Y,V01,Foreign,Endangered,Wherever found
1844,Prionailurus (=Felis) bengalensis iriomotensis,Iriomote cat,A079,V01,Foreign,Endangered,Wherever found
1845,Prionailurus (=Felis) planiceps,Flat-headed cat,A04X,V01,Foreign,Endangered,Wherever found
1846,Prionodon pardicolor,Spotted linsang,A05Q,V01,Foreign,Endangered,Wherever found
1847,Pristis clavata,Dwarf sawfish,E0D2,V01,NMFS,Endangered,Wherever found
1848,Pristis pectinata,Smalltooth sawfish,E0A9,V01,NMFS,Endangered,US DPS - Smalltooth sawfish originating from U.S. waters.
1849,Pristis pectinata,Smalltooth sawfish,E0A9,V02,NMFS,Endangered,Non-US DPS - Smalltooth sawfish originating from non-US waters
1850,Pristis pristis,Largetooth Sawfish,E0CG,V01,NMFS,Endangered,Wherever found
1851,Pristis zijsron,Green sawfish,E0D3,V01,NMFS,Endangered,Wherever found
1852,Pritchardia aylmer-robinsonii,Wahane,Q1JK,P01,1,Endangered,Wherever found
1853,Pritchardia bakeri,Baker''s Loulu,Q3ON,P01,1,Endangered,Wherever found
1854,Pritchardia hardyi,Lo`ulu,Q38C,P01,1,Endangered,Wherever found
1855,Pritchardia kaalae,Lo`ulu,Q2VM,P01,1,Endangered,Wherever found
1856,Pritchardia lanigera,Lo`ulu,Q1JR,P01,1,Endangered,Wherever found
1857,Pritchardia maideniana,Lo`ulu,Q38B,P01,1,Endangered,Wherever found
1858,Pritchardia munroi,Lo`ulu,Q20W,P01,1,Endangered,Wherever found
1859,Pritchardia napaliensis,Lo`ulu,Q38D,P01,1,Endangered,Wherever found
1860,Pritchardia remota,Lo`ulu,Q1JS,P01,1,Endangered,Wherever found
1861,Pritchardia schattaueri,Lo`ulu,Q2VN,P01,1,Endangered,Wherever found
1862,Pritchardia viscosa,Lo`ulu,Q38E,P01,1,Endangered,Wherever found
1863,Probarbus jullieni,Ikan temoleh (minnow),E01V,V01,Foreign,Endangered,Wherever found
1864,Procaris hawaiana,Anchialine pool Shrimp,K03B,I01,1,Endangered,Wherever found
1865,Procolobus (=Colobus) pennantii (=kirki) kirki,Zanzibar red colobus monkey,A01X,V01,Foreign,Endangered,Wherever found
1866,Procolobus (=Colobus) preussi (=badius p.),Preuss' red colobus monkey,A0A4,V01,Foreign,Endangered,Wherever found
1867,Procolobus (=Colobus) rufomitratus (=badius r.),Tana River red colobus monkey,A01V,V01,Foreign,Endangered,Wherever found
1868,Propithecus spp.,Sifakas,A03N,V01,Foreign,Endangered,Wherever found
1869,Prunus geniculata,Scrub plum,Q20X,P01,4,Endangered,Wherever found
1870,Psammobates geometricus,Geometric turtle,C01G,V01,Foreign,Endangered,Wherever found
1871,Psephotus chrysopterygius,Golden-shouldered parakeet,B02B,V01,Foreign,Endangered,Wherever found
1872,Psephotus pulcherrimus,Paradise parakeet,B02D,V01,Foreign,Endangered,Wherever found
1873,Pseudemydura umbrina,Short-necked or western swamp turtle,C00M,V01,Foreign,Endangered,Wherever found
1874,Pseudemys alabamensis,Alabama red-bellied turtle,C01W,V01,4,Endangered,Wherever found
1875,Pseudemys rubriventris bangsi,Plymouth Redbelly Turtle,C021,V01,5,Endangered,Wherever found
1876,Pseudibis gigantea,Giant ibis,B0C2,V01,Foreign,Endangered,Wherever found
1877,Pseudobahia bahiifolia,Hartweg's golden sunburst,Q1K2,P01,8,Endangered,Wherever found
1878,Pseudobahia peirsonii,San Joaquin adobe sunburst,Q1K3,P01,8,Threatened,Wherever found
1879,Pseudobulweria macgillivrayi,Fiji petrel,B0C5,V01,Foreign,Endangered,Wherever found
1880,Pseudocopaeodes eunus obscurus,Carson wandering skipper,I0RG,I01,8,Endangered,Wherever found
1881,Pseudognaphalium sandwicensium var. molokaiense,`Ena`ena,Q1WN,P01,1,Endangered,Wherever found
1882,Pseudomys fieldi,Field's mouse,A037,V01,Foreign,Endangered,Wherever found
1883,Pseudomys fumeus,Smoky mouse,A03B,V01,Foreign,Endangered,Wherever found
1884,Pseudomys gouldii,Gould's mouse,A048,V01,Foreign,Endangered,Wherever found
1885,Pseudomys novaehollandiae,New Holland mouse,A038,V01,Foreign,Endangered,Wherever found
1886,Pseudomys occidentalis,Western mouse,A03C,V01,Foreign,Endangered,Wherever found
1887,Pseudomys praeconis,Shark Bay mouse,A039,V01,Foreign,Endangered,Wherever found
1888,Pseudomys shortridgei,Shortridge's mouse,A03A,V01,Foreign,Endangered,Wherever found
1889,Pseudonestor xanthophrys,Maui parrotbill (Kiwikiu),B00M,V01,1,Endangered,Wherever found
1890,Pseudorca crassidens,false killer whale,A0KX,V01,NMFS,Endangered,Main Hawaiian Islands Insular DPS See 50 CFR 224.101
1891,Pseudotryonia adamantina,Diamond Tryonia,G04W,I01,2,Endangered,Wherever found
1892,Psittacula echo,Mauritius parakeet,B03V,V01,Foreign,Endangered,Wherever found
1893,Psittirostra psittacea,`O`u (honeycreeper),B00J,V01,1,Endangered,Wherever found
1894,Psophodes nigrogularis,Western whipbird,B03M,V01,Foreign,Endangered,Wherever found
1895,Psychotria grandiflora,Kopiko,Q1KB,P01,1,Endangered,Wherever found
1896,Psychotria hexandra ssp. oahuensis,Kopiko,Q3H6,P01,1,Endangered,Wherever found
1897,Psychotria hobdyi,Kopiko,Q38F,P01,1,Endangered,Wherever found
1898,Psychotria malaspinae,Aplokating-palaoan,Q3P0,P01,1,Endangered,Wherever found
1899,Pteralyxia kauaiensis,Kaulu,Q20Y,P01,1,Endangered,Wherever found
1900,Pteralyxia macrocarpa,Kaulu,Q1KE,P01,1,Endangered,Wherever found
1901,Pteris lidgatei,No common name,S00W,P01,1,Endangered,Wherever found
1902,Pterodroma aterrima,Mascarene black petrel,B09Z,V01,Foreign,Endangered,Wherever found
1903,Pterodroma axillaris,Chatham Island petrel,B0CH,V01,Foreign,Endangered,Wherever found
1904,Pterodroma cahow,Bermuda petrel,B015,V01,4,Endangered,Wherever found
1905,Pterodroma madeira,Freira,B09Y,V01,Foreign,Endangered,Wherever found
1906,Pterodroma magentae,Magenta petrel,B0CI,V01,Foreign,Endangered,Wherever found
1907,Pterodroma phaeopygia,Galapagos petrel,B0CJ,V01,Foreign,Threatened,Wherever found
1908,Pterodroma sandwichensis,Hawaiian petrel,B00N,V01,1,Endangered,Wherever found
1909,Pteronura brasiliensis,Giant otter,A020,V01,Foreign,Endangered,South America
1910,Pteropus mariannus mariannus,Mariana fruit Bat (=Mariana flying fox),A07X,V04,1,Threatened,Wherever found
1911,Pteropus rodricensis,Rodrigues fruit bat (=flying fox),A09Y,V01,Foreign,Endangered,Wherever found
1912,Pteropus tokudae,Little Mariana fruit Bat,A07W,V01,1,Endangered,Wherever found
1913,Ptilimnium nodosum,Harperella,Q2H9,P01,5,Endangered,Wherever found
1914,Ptychobranchus greenii,Triangular Kidneyshell,F037,I01,4,Endangered,Wherever found
1915,Ptychobranchus jonesi,Southern kidneyshell,F02N,I01,4,Endangered,Wherever found
1916,Ptychobranchus subtentum,Fluted kidneyshell,F041,I01,4,Endangered,Wherever found
1917,Ptychocheilus lucius,Colorado pikeminnow (=squawfish),E006,V01,6,Endangered,"Wherever found, except where listed as an experimental population"
1918,Pudu pudu,Pudu,A061,V01,Foreign,Endangered,Wherever found
1919,Puffinus auricularis newelli,Newell's Townsend's shearwater,B04O,V01,1,Threatened,Wherever found
1920,Puffinus heinrothi,Heinroth's shearwater,B0C4,V01,Foreign,Threatened,Wherever found
1921,Puma (=Felis) concolor (all subsp. except coryi),Puma (=mountain lion),A0G0,V01,5,Similarity of Appearance to a Threatened Taxon,U.S.A. (FL)
1922,Puma (=Felis) concolor coryi,Florida panther,A008,V01,4,Endangered,Wherever found
1923,Puma (=Felis) concolor costaricensis,Costa Rican puma,A062,V01,Foreign,Endangered,Wherever found
1924,Purshia (=Cowania) subintegra,Arizona Cliffrose,Q20Z,P01,2,Endangered,Wherever found
1925,Pygathrix nemaeus,Douc langur,A01H,V01,Foreign,Endangered,Wherever found
1926,Pyrgulopsis bernardina,San Bernardino springsnail,G05E,I01,2,Threatened,Wherever found
1927,Pyrgulopsis bruneauensis,Bruneau Hot springsnail,G03R,I01,1,Endangered,Wherever found
1928,Pyrgulopsis chupaderae,Chupadera springsnail,G03S,I01,2,Endangered,Wherever found
1929,Pyrgulopsis (=Marstonia) pachyta,Armored snail,G03B,I01,4,Endangered,Wherever found
1930,Pyrgulopsis neomexicana,Socorro springsnail,G05P,I01,2,Endangered,Wherever found
1931,Pyrgulopsis ogmorhaphe,Royal marstonia (snail),G027,I01,4,Endangered,Wherever found
1932,Pyrgulopsis roswellensis,Roswell springsnail,G03T,I01,2,Endangered,Wherever found
1933,Pyrgulopsis texana,Phantom Springsnail,G00X,I01,2,Endangered,Wherever found
1934,Pyrgulopsis trivialis,Three Forks Springsnail,G051,I01,2,Endangered,Wherever found
1935,Pyrgus ruralis lagunae,Laguna Mountains skipper,I0LW,I01,8,Endangered,Wherever found
1936,Pyriglena atra,Fringe-backed fire-eye,B0D3,V01,Foreign,Endangered,Wherever found
1937,Pyrrhula pyrrhula murina,Sao Miguel bullfinch (finch),B012,V01,Foreign,Endangered,Wherever found
1938,Pyrrhura cruentata,Blue-throated (=ochre-marked) parakeet,B029,V01,Foreign,Endangered,Wherever found
1939,Python molurus molurus,Indian python,C01A,V01,Foreign,Endangered,Wherever found
1940,Quadrula cylindrica cylindrica,Rabbitsfoot,F03X,I01,4,Threatened,Wherever found
1941,Quadrula cylindrica strigillata,Rough rabbitsfoot,F00V,I01,5,Endangered,Wherever found
1942,Quadrula fragosa,Winged Mapleleaf,F00C,I01,3,Endangered,"Wherever found, except where listed as an experimental population"
1943,Quadrula intermedia,Cumberland monkeyface (pearlymussel),F00E,I01,4,Endangered,Wherever found; Except where listed as Experimental Populations
1944,Quadrula sparsa,Appalachian monkeyface (pearlymussel),F00D,I01,5,Endangered,Wherever found
1945,Quadrula stapes,Stirrupshell,F027,I01,4,Endangered,Wherever found
1946,Quercus hinckleyi,Hinckley oak,Q211,P01,2,Threatened,Wherever found
1947,Quisicalus palustris,Slender-billed Grackle,B01O,V01,Foreign,Endangered,Wherever found
1948,Rallus longirostris levipes,Light-footed clapper rail,B04B,V01,8,Endangered,Wherever found
1949,Rallus longirostris obsoletus,California clapper rail,B04A,V01,8,Endangered,Wherever found
1950,Rallus longirostris yumanensis,Yuma clapper rail,B00P,V01,2,Endangered,Wherever found
1951,Rallus owstoni,Guam rail,B063,V01,1,Endangered,"Wherever found, except where listed as an experimental population"
1952,Rallus pectoralis muelleri,Aukland Island rail,B031,V01,Foreign,Endangered,Wherever found
1953,Ramphocinclus brachyurus,White-breasted thrasher,B03D,V01,Foreign,Endangered,Wherever found
1954,Ramphodon (=Glaucis) dohrnii,Hook-billed hermit (hummingbird),B054,V01,Foreign,Endangered,Wherever found
1955,Rana chiricahuensis,Chiricahua leopard frog,D02F,V01,2,Threatened,Wherever found
1956,Rana draytonii,California red-legged frog,D02D,V01,8,Threatened,Wherever found
1957,Rana muscosa,Mountain yellow-legged frog,D02H,V01,8,Endangered,"U.S.A., southern California"
1958,Rana muscosa,Mountain yellow-legged frog,D02H,V02,8,Endangered,"U.S.A., northern California"
1959,Rana pretiosa,Oregon spotted frog,D02A,V01,1,Threatened,Wherever found
1960,Rana sevosa,dusky gopher frog,D031,V01,4,Endangered,Wherever found
1961,Rana sierrae,Sierra Nevada Yellow-legged Frog,D04M,V01,8,Endangered,Wherever found
1962,Rangifer tarandus caribou,Woodland Caribou,A088,V01,1,Endangered,"U.S.A. (ID, WA), Canada (that part of S.E. British Columbia bounded by the U.S.-Can. border, Columbia R., Kootenay R., Kootenay L., and Kootenai R.)"
1963,Ranunculus aestivalis (=acriformis),Autumn Buttercup,Q212,P01,6,Endangered,Wherever found
1964,Ranunculus hawaiensis,Makou,Q38H,P01,1,Endangered,Wherever found
1965,Ranunculus mauiensis,Makou,Q2VQ,P01,1,Endangered,Wherever found
1966,Reithrodontomys raviventris,Salt marsh harvest mouse,A03Y,V01,8,Endangered,wherever found
1967,Remya kauaiensis,No common name,Q213,P01,1,Endangered,Wherever found
1968,Remya mauiensis,Maui remya,Q214,P01,1,Endangered,Wherever found
1969,Remya montgomeryi,No common name,Q2YH,P01,1,Endangered,Wherever found
1970,Rhadine exilis,[no common name] Beetle,I0RF,I01,2,Endangered,Wherever found
1971,Rhadine infernalis,[no common name] Beetle,I0P1,I01,2,Endangered,Wherever found
1972,Rhadine persephone,Tooth Cave ground beetle,I0IB,I01,2,Endangered,Wherever found
1973,Rhaphiomidas terminatus abdominalis,Delhi Sands flower-loving fly,I0MG,I01,8,Endangered,Wherever found
1974,Rhea (=Pterocnemia) pennata,Lesser rhea (incl. Darwin's),B032,V01,Foreign,Endangered,Wherever found
1975,Rhinichthys osculus lethoporus,Independence Valley speckled dace,E03E,V01,8,Endangered,Wherever found
1976,Rhinichthys osculus nevadensis,Ash Meadows speckled dace,E03A,V01,8,Endangered,Wherever found
1977,Rhinichthys osculus oligoporus,Clover Valley speckled dace,E03B,V01,8,Endangered,Wherever found
1978,Rhinichthys osculus ssp.,Foskett speckled dace,E03D,V01,1,Threatened,Wherever found
1979,Rhinichthys osculus thermalis,Kendall Warm Springs dace,E00S,V01,6,Endangered,Wherever found
1980,Rhinoceros sondaicus,Javan rhinoceros,A024,V01,Foreign,Endangered,"Sikkim, Thailand, Malaysia, Indonesia, Indochina, Burma, Bangladesh"
1981,Rhinoceros unicornis,Great Indian rhinoceros,A03M,V01,Foreign,Endangered,"Nepal, India"
1982,Rhinopithecus avunculus,Tonkin snub-nosed monkey,A0FY,V01,Foreign,Endangered,Wherever found
1983,Rhinopithecus bieti,Yunnan snub-nosed monkey,A0FZ,V01,Foreign,Endangered,Wherever found
1984,Rhinopithecus brelichi,Guizhou snub-nosed monkey,A0FW,V01,Foreign,Endangered,Wherever found
1985,Rhinopithecus roxellana,Sichuan snub-nosed monkey,A0FX,V01,Foreign,Endangered,Wherever found
1986,Rhinoptilus bitorquatus,Jerdon's courser,B0BU,V01,Foreign,Endangered,Wherever found
1987,Rhodiola integrifolia ssp. leedyi,Leedy's roseroot,Q392,P01,3,Threatened,Wherever found
1988,Rhododendron chapmanii,Chapman rhododendron,Q215,P01,4,Endangered,Wherever found
1989,Rhodonessa caryophyllacea,Pink-headed duck,B04X,V01,Foreign,Endangered,Wherever found
1990,Rhus michauxii,Michaux's sumac,Q2HH,P01,4,Endangered,Wherever found
1991,Rhynchopsitta pachyrhyncha,Thick-billed parrot,B00W,V01,2,Endangered,Wherever found
1992,Rhynchospora knieskernii,Knieskern's Beaked-rush,Q216,P01,5,Threatened,Wherever found
1993,Rhynochetos jubatus,Kagu,B01V,V01,Foreign,Endangered,Wherever found
1994,Ribes echinellum,Miccosukee gooseberry,Q217,P01,4,Threatened,Wherever found
1995,Romerolagus diazi,Volcano rabbit,A023,V01,Foreign,Endangered,Mexico
1996,Rorippa gambellii,Gambel's watercress,Q38L,P01,8,Endangered,Wherever found
1997,Rostrhamus sociabilis plumbeus,Everglade snail kite,B00F,V01,4,Endangered,Wherever found
1998,Rukia longirostra,Ponape greater white-eye,B03N,V01,Foreign,Endangered,Wherever found
1999,Rupicapra rupicapra ornata,Apennine chamois,A051,V01,Foreign,Endangered,Wherever found
2000,Sagittaria fasciculata,Bunched arrowhead,Q219,P01,4,Endangered,Wherever found
2001,Sagittaria secundifolia,Kral's water-plantain,Q2VT,P01,4,Threatened,Wherever found
2002,Saguinus bicolor,Pied tamarin,A06Y,V01,Foreign,Endangered,Wherever found
2003,Saguinus leucopus,White-footed tamarin,A06Z,V01,Foreign,Threatened,Wherever found
2004,Saguinus oedipus,Cotton-top tamarin,A06Q,V01,Foreign,Endangered,Wherever found
2005,Saiga tatarica mongolica,Mongolian saiga (antelope),A063,V01,Foreign,Endangered,Mongolia
2006,Saimiri oerstedii,Red-backed squirrel monkey,A01S,V01,Foreign,Endangered,Wherever found
2007,Salmo platycephalus,Ala balik (trout),E00I,V01,Foreign,Endangered,Wherever found
2008,Salmo salar,Atlantic salmon,E07L,V03,5,Endangered,Gulf of Maine DPS - See 50 CFR 224.101
2009,Salvelinus confluentus,Bull Trout,E065,V06,1,Threatened,"U.S.A., conterminous, (lower 48 states)"
2010,Samoana fragilis,Fragile tree snail,G0A7,I01,1,Endangered,Wherever found
2011,Sanicula mariversa,No common name,Q38R,P01,1,Endangered,Wherever found
2012,Sanicula purpurea,No common name,Q1MF,P01,1,Endangered,Wherever found
2013,Sanicula sandwicensis,No common name,Q2HW,P01,1,Endangered,Wherever found
2014,Santalum haleakalae var. lanaiense,Lanai sandalwood (=`iliahi),Q2HX,P01,1,Endangered,Wherever found
2015,Santalum involutum,No common name,Q3OO,P01,1,Endangered,Wherever found
2016,Sarracenia oreophila,Green pitcher-plant,Q21B,P01,4,Endangered,Wherever found
2017,Sarracenia rubra ssp. alabamensis,Alabama canebrake pitcher-plant,Q2HZ,P01,4,Endangered,Wherever found
2018,Sarracenia rubra ssp. jonesii,Mountain sweet pitcher-plant,Q2I0,P01,4,Endangered,Wherever found
2019,Sauromalus varius,San Esteban Island chuckwalla,C02L,V01,Foreign,Endangered,Wherever found
2020,Scaevola coriacea,Dwarf naupaka,Q21C,P01,1,Endangered,Wherever found
2021,Scaphirhynchus albus,Pallid sturgeon,E06X,V01,6,Endangered,Wherever found
2022,Scaphirhynchus platorynchus,Shovelnose Sturgeon,E0BD,V01,6,Similarity of Appearance to a Threatened Taxon,Wherever found
2023,Scaphirhynchus suttkusi,Alabama sturgeon,E026,V01,4,Endangered,Wherever found
2024,Schenkia sebaeoides,Awiwi,Q30Q,P01,1,Endangered,Wherever found
2025,Schiedea adamantis,Diamond Head schiedea,Q21E,P01,1,Endangered,Wherever found
2026,Schiedea apokremnos,Ma`oli`oli,Q2VV,P01,1,Endangered,Wherever found
2027,Schiedea attenuata,No common name,Q3H7,P01,1,Endangered,Wherever found
2028,Schiedea diffusa ssp. macraei,No common name,Q3OE,P01,1,Endangered,Wherever found
2029,Schiedea diffusa subsp. diffusa,No common name,Q3OS,P01,1,Endangered,Wherever found
2030,Schiedea haleakalensis,No common name,Q2VW,P01,1,Endangered,Wherever found
2031,Schiedea hawaiiensis,Ma`oli`oli,Q1MU,P01,1,Endangered,Wherever found
2032,Schiedea helleri,No common name,Q2VX,P01,1,Endangered,Wherever found
2033,Schiedea hookeri,No common name,Q1MV,P01,1,Endangered,Wherever found
2034,Schiedea jacobii,No common name,Q3O2,P01,1,Endangered,Wherever found
2035,Schiedea kaalae,No common name,Q21F,P01,1,Endangered,Wherever found
2036,Schiedea kauaiensis,No common name,Q38U,P01,1,Endangered,Wherever found
2037,Schiedea kealiae,Ma`oli`oli,Q1MW,P01,1,Endangered,Wherever found
2038,Schiedea laui,No common name,Q3O3,P01,1,Endangered,Wherever found
2039,Schiedea lychnoides,Kuawawaenohu,Q2YL,P01,1,Endangered,Wherever found
2040,Schiedea lydgatei,No common name,Q2VY,P01,1,Endangered,Wherever found
2041,Schiedea membranacea,No common name,Q1MY,P01,1,Endangered,Wherever found
2042,Schiedea nuttallii,No common name,Q38V,P01,1,Endangered,Wherever found
2043,Schiedea obovata,No common name,Q1SQ,P01,1,Endangered,Wherever found
2044,Schiedea pubescens,Ma`oli`oli,Q2VZ,P01,1,Endangered,Wherever found
2045,Schiedea salicaria,No common name,Q21G,P01,1,Endangered,Wherever found
2046,Schiedea sarmentosa,No common name,Q1N2,P01,1,Endangered,Wherever found
2047,Schiedea spergulina var. leiopoda,No common name,Q2W0,P01,1,Endangered,Wherever found
2048,Schiedea spergulina var. spergulina,No common name,Q2W1,P01,1,Threatened,Wherever found
2049,Schiedea stellarioides,Laulihilihi,Q2W2,P01,1,Endangered,Wherever found
2050,Schiedea trinervis,No common name,Q1SR,P01,1,Endangered,Wherever found
2051,Schiedea verticillata,No common name,Q1N3,P01,1,Endangered,Wherever found
2052,Schiedea viscosa,No common name,Q2X3,P01,1,Endangered,Wherever found
2053,Schoenocrambe argillacea,Clay reed-mustard,Q38X,P01,6,Threatened,Wherever found
2054,Schoenocrambe barnebyi,Barneby reed-mustard,Q2QU,P01,6,Endangered,Wherever found
2055,Schoenocrambe suffrutescens,Shrubby reed-mustard,Q1N9,P01,6,Endangered,Wherever found
2056,Schoepfia arenaria,No common name,Q2W3,P01,4,Threatened,Wherever found
2057,Schwalbea americana,American chaffseed,Q2I4,P01,4,Endangered,Wherever found
2058,Scirpus ancistrochaetus,Northeastern bulrush,Q21H,P01,5,Endangered,Wherever found
2059,Sclerocactus brevihamatus ssp. tobuschii,Tobusch fishhook cactus,Q1SV,P01,2,Threatened,Wherever found
2060,Sclerocactus brevispinus,Pariette cactus,Q3KI,P01,6,Threatened,Wherever found
2061,Sclerocactus glaucus,Colorado hookless Cactus,Q21I,P01,6,Threatened,Wherever found
2062,Sclerocactus mesae-verdae,Mesa Verde cactus,Q21J,P01,2,Threatened,Wherever found
2063,Sclerocactus wetlandicus,Uinta Basin hookless cactus,Q3N6,P01,6,Threatened,Wherever found
2064,Sclerocactus wrightiae,Wright fishhook cactus,Q21K,P01,6,Endangered,Wherever found
2065,Scleropages formosus,Asian bonytongue,E01U,V01,Foreign,Endangered,Wherever found
2066,Scutellaria floridana,Florida skullcap,Q2I9,P01,4,Threatened,Wherever found
2067,Scutellaria montana,Large-flowered skullcap,Q2IA,P01,4,Threatened,Wherever found
2068,Sebastes paucispinis,Bocaccio,E0BI,V01,NMFS,Endangered,Puget Sound-Georgia Basin DPS See 50 CFR 224.101
2069,Sebastes pinniger,canary rockfish,E0BK,V01,NMFS,Threatened,Puget Sound - Georgia Basin DPS See 50 CFR 223.102
2070,Sebastes ruberrimus,yelloweye rockfish,E0BM,V01,NMFS,Threatened,Puget Sound - Georgia Basin DPS See 50 CFR 223.102
2071,Semnopithecus (=Presbytis) entellus,Gray (=entellus) langur,A05M,V01,Foreign,Endangered,Wherever found
2072,Senecio layneae,Layne's butterweed,Q1O2,P01,8,Threatened,Wherever found
2073,Serianthes nelsonii,"Hayun Iagu (=(Guam), Tronkon guafi (Rota))",Q2QW,P01,1,Endangered,Wherever found
2074,Seriatopora aculeata,No common name,P00I,I01,NMFS,Threatened,Wherever found
2075,Sesbania tomentosa,Ohai,Q2IM,P01,1,Endangered,Wherever found
2076,Setonix brachyurus,Quokka,A04B,V01,Foreign,Endangered,Wherever found
2077,Setophaga angelae,Elfin-woods warbler,B07V,V01,4,Threatened,Wherever found
2078,Setophaga kirtlandii (= Dendroica kirtlandii),Kirtland's Warbler,B03I,V01,3,Endangered,Wherever found
2079,Sibara filifolia,Santa Cruz Island rockcress,Q1OF,P01,8,Endangered,Wherever found
2080,Sicyos albus,`Anunu,Q393,P01,1,Endangered,Wherever found
2081,Sicyos lanceoloideus,No common name,Q3OQ,P01,1,Endangered,Wherever found
2082,Sicyos macrophyllus,`Anunu,Q396,P01,1,Endangered,Wherever found
2083,Sidalcea keckii,Keck's Checker-mallow,Q1OS,P01,8,Endangered,Wherever found
2084,Sidalcea nelsoniana,Nelson's checker-mallow,Q21M,P01,1,Threatened,Wherever found
2085,Sidalcea oregana ssp. valida,Kenwood Marsh checker-mallow,Q1OU,P01,8,Endangered,Wherever found
2086,Sidalcea oregana var. calva,Wenatchee Mountains checkermallow,Q1OT,P01,1,Endangered,Local Endemic
2087,Sidalcea pedata,Pedate checker-mallow,Q2IS,P01,8,Endangered,Wherever found
2088,Sideroxylon reclinatum ssp. austrofloridense,Everglades bully,Q3IM,P01,4,Threatened,Wherever found
2089,Silene alexandri,No common name,Q21N,P01,1,Endangered,Wherever found
2090,Silene hawaiiensis,No common name,Q2IX,P01,1,Threatened,Wherever found
2091,Silene lanceolata,No common name,Q21O,P01,1,Endangered,Wherever found
2092,Silene perlmanii,No common name,Q39A,P01,1,Endangered,Wherever found
2093,Silene polypetala,Fringed campion,Q21P,P01,4,Endangered,Wherever found
2094,Silene spaldingii,Spalding's Catchfly,Q1P9,P01,1,Threatened,Wherever found
2095,Sistrurus catenatus,Eastern Massasauga (=rattlesnake),C03P,V01,3,Threatened,Wherever found
2096,Sisyrinchium dichotomum,White irisette,Q39D,P01,4,Endangered,Wherever found
2097,Sitta ledanti,Algerian nuthatch,B09V,V01,Foreign,Endangered,Wherever found
2098,Sminthopsis longicaudata,Long-tailed marsupial-mouse,A036,V01,Foreign,Endangered,Wherever found
2099,Sminthopsis psammophila,Large desert marsupial-mouse,A035,V01,Foreign,Endangered,Wherever found
2100,Solanum drymophilum,Erubia,Q2J3,P01,4,Endangered,Wherever found
2101,Solanum guamense,Berenghenas halomtano,Q3P1,P01,1,Endangered,Wherever found
2102,Solanum incompletum,Popolo ku mai,Q21Q,P01,1,Endangered,Wherever found
2103,Solanum nelsonii,Popolo,Q21R,P01,1,Endangered,Wherever found
2104,Solanum sandwicense,"`Aiakeakua, popolo",Q21S,P01,1,Endangered,Wherever found
2105,Solenodon cubanus,Cuban solenodon,A02D,V01,Foreign,Endangered,Wherever found
2106,Solenodon paradoxus,Haitian solenodon,A02E,V01,Foreign,Endangered,Wherever found
2107,Solidago houghtonii,Houghton's goldenrod,Q2J5,P01,3,Threatened,Wherever found
2108,Solidago shortii,Short's goldenrod,Q21U,P01,4,Endangered,Wherever found
2109,Solidago spithamaea,Blue Ridge goldenrod,Q2J7,P01,4,Threatened,Wherever found
2110,Somateria fischeri,Spectacled eider,B08Z,V01,7,Threatened,Wherever found
2111,Somatochlora hineana,Hine's emerald dragonfly,I06P,I01,3,Endangered,Wherever found
2112,Sorex ornatus relictus,Buena Vista Lake ornate Shrew,A0DV,V01,8,Endangered,Wherever found
2113,Spelaeorchestia koloana,Kauai cave amphipod,K022,I01,1,Endangered,Wherever found
2114,Speoplatyrhinus poulsoni,Alabama cavefish,E011,V01,4,Endangered,Wherever found
2115,Spermolepis hawaiiensis,No common name,Q39H,P01,1,Endangered,Wherever found
2116,Speyeria callippe callippe,Callippe silverspot butterfly,I019,I01,8,Endangered,Wherever found
2117,Speyeria zerene behrensii,Behren's silverspot butterfly,I031,I01,8,Endangered,Wherever found
2118,Speyeria zerene hippolyta,Oregon silverspot butterfly,I01A,I01,1,Threatened,Wherever found
2119,Speyeria zerene myrtleae,Myrtle's silverspot butterfly,I00N,I01,8,Endangered,Wherever found
2120,Sphaeralcea gierischii,Gierisch mallow,Q3LJ,P01,2,Endangered,Wherever found
2121,Sphaerodactylus micropithecus,Monito gecko,C038,V01,4,Endangered,Wherever found
2122,Spheniscus demersus,African penguin,B0FM,V01,Foreign,Endangered,Wherever found
2123,Spheniscus humboldti,Humboldt penguin,B0FN,V01,Foreign,Threatened,Wherever found
2124,Spheniscus mendiculus,Galapagos penguin,B02M,V01,Foreign,Endangered,Wherever found
2125,Sphenodon guntheri,Brother's Island tuatara,C00N,V01,Foreign,Endangered,Wherever found
2126,Sphenodon punctatus,Tuatara,C00L,V01,Foreign,Endangered,Wherever found
2127,Sphyrna lewini,Scalloped Hammerhead Shark,E0CL,V02,NMFS,Endangered,Eastern Pacific DPS
2128,Sphyrna lewini,Scalloped Hammerhead Shark,E0CL,V03,NMFS,Threatened,Central and Southwest Atlantic DPS
2129,Sphyrna lewini,Scalloped Hammerhead Shark,E0CL,V04,NMFS,Endangered,Eastern Atlantic DPS
