Arctocephalus townsendi,"Seal, Guadalupe fur",Threatened
Neomonachus schauinslandi (=Monachus schauinslandi),"Seal, Hawaiian monk",Endangered
Monachus monachus,"Seal, Mediterranean monk",Endangered
Phoca (=Pusa) hispida hispida,"Seal, ringed (Arctic subspecies)",Threatened
Phoca (=Pusa) hispida botnica,"Seal, ringed (Baltic subspecies)",Threatened
Phoca (=Pusa) hispida ladogensis,"Seal, ringed (Ladoga subspecies)",Endangered
Phoca (=Pusa) hispida ochotensis,"Seal, ringed (Okhotsk subspecies)",Threatened
Phoca hispida saimensis,"Seal, ringed (Saimaa subspecies)",Endangered
Phoca largha,"Seal, spotted [Southern DPS]",Threatened
Bos gaurus,Seledang,Endangered
Naemorhedus (=Capricornis) sumatraensis,Serow,Endangered
Leptailurus (=Felis) serval constantina,"Serval, Barbary",Endangered
Ovis vignei vignei,Shapo,Endangered
Ovis canadensis nelsoni,"Sheep, Peninsular bighorn [Peninsular CA DPS]",Endangered
Ovis canadensis sierrae,"Sheep, Sierra Nevada bighorn",Endangered
Cervus elaphus wallichi,Shou,Endangered
Sorex ornatus relictus,"Shrew, Buena Vista Lake",Endangered
Symphalangus syndactylus,Siamang,Endangered
Propithecus spp.,Sifakas,Endangered
Bradypus torquatus,"Sloth, Brazilian three-toed",Endangered
Solenodon cubanus,"Solenodon, Cuban",Endangered
Solenodon paradoxus,"Solenodon, Haitian",Endangered
Glaucomys sabrinus coloratus,"Squirrel, Carolina northern flying",Endangered
Tamiasciurus hudsonicus grahamensis,"Squirrel, Mount Graham red",Endangered
Spermophilus brunneus brunneus,"Squirrel, northern Idaho ground",Threatened
Cervus elaphus barbarus,"Stag, Barbary",Endangered
Cervus elaphus hanglu,"Stag, Kashmir",Endangered
Neotragus moschatus moschatus,"Suni, Zanzibar",Endangered
Hemitragus jayakari,"Tahr, Arabian",Endangered
Bubalus mindorensis,Tamaraw,Endangered
Leontopithecus spp.,"Tamarin, golden-rumped",Endangered
Saguinus bicolor,"Tamarin, pied",Endangered
Saguinus leucopus,"Tamarin, white-footed",Threatened
Tapirus indicus,"Tapir, Asian",Endangered
Tapirus bairdii,"Tapir, Central American",Endangered
Tapirus pinchaque,"Tapir, mountain",Endangered
Tapirus terrestris,"Tapir, South American (=Brazilian)",Endangered
Tarsius syrichta,"Tarsier, Philippine",Threatened
Panthera tigris,Tiger,Endangered
Thylacinus cynocephalus,"Tiger, Tasmanian",Endangered
Cacajao spp.,Uakari (all species),Endangered
Ovis musimon ophion,Urial,Endangered
Vicugna vicugna,"Vicuna [Argentina, Bolivia, Chile and Peru]",Threatened
Vicugna vicugna,Vicuna [Ecuador DPS],Endangered
Microtus californicus scirpensis,"Vole, Amargosa",Endangered
Microtus pennsylvanicus dukecampbelli,"Vole, Florida salt marsh",Endangered
Lagostrophus fasciatus,"Wallaby, banded hare",Endangered
Onychogalea fraenata,"Wallaby, brindled nail-tailed",Endangered
Onychogalea lunata,"Wallaby, crescent nail-tailed",Endangered
Macropus parma,"Wallaby, Parma",Endangered
Lagorchestes hirsutus,"Wallaby, western hare",Endangered
Petrogale xanthopus,"Wallaby, yellow-footed rock",Endangered
Delphinapterus leucas,"Whale, beluga [Cook Inlet DPS]",Endangered
Balaenoptera musculus,"Whale, blue",Endangered
Balaena mysticetus,"Whale, bowhead",Endangered
Pseudorca crassidens,"Whale, false killer [Main Hawaiian Islands Insular DPS]",Endangered
Balaenoptera physalus,"Whale, finback",Endangered
Eschrichtius robustus,"Whale, gray [Western North Pacific DPS]",Endangered
